2020-03-21 12:59:26 status unpacked perl-base:amd64 5.28.1-6
2020-03-21 12:59:26 install libsemanage-common:all <none> 2.8-2
2020-03-21 12:59:26 status half-installed libsemanage-common:all 2.8-2
2020-03-21 12:59:26 status unpacked libsemanage-common:all 2.8-2
2020-03-21 12:59:26 install libsepol1:amd64 <none> 2.8-1
2020-03-21 12:59:26 status half-installed libsepol1:amd64 2.8-1
2020-03-21 12:59:26 status unpacked libsepol1:amd64 2.8-1
2020-03-21 12:59:26 install libsemanage1:amd64 <none> 2.8-2
2020-03-21 12:59:26 status half-installed libsemanage1:amd64 2.8-2
2020-03-21 12:59:26 status unpacked libsemanage1:amd64 2.8-2
2020-03-21 12:59:26 install passwd:amd64 <none> 1:4.5-1.1
2020-03-21 12:59:26 status half-installed passwd:amd64 1:4.5-1.1
2020-03-21 12:59:26 status unpacked passwd:amd64 1:4.5-1.1
2020-03-21 12:59:26 install libstdc++6:amd64 <none> 8.3.0-6
2020-03-21 12:59:26 status half-installed libstdc++6:amd64 8.3.0-6
2020-03-21 12:59:26 status unpacked libstdc++6:amd64 8.3.0-6
2020-03-21 12:59:26 install libsystemd0:amd64 <none> 241-7~deb10u3
2020-03-21 12:59:26 status half-installed libsystemd0:amd64 241-7~deb10u3
2020-03-21 12:59:26 status unpacked libsystemd0:amd64 241-7~deb10u3
2020-03-21 12:59:26 install libudev1:amd64 <none> 241-7~deb10u3
2020-03-21 12:59:26 status half-installed libudev1:amd64 241-7~deb10u3
2020-03-21 12:59:26 status unpacked libudev1:amd64 241-7~deb10u3
2020-03-21 12:59:26 install libzstd1:amd64 <none> 1.3.8+dfsg-3
2020-03-21 12:59:26 status half-installed libzstd1:amd64 1.3.8+dfsg-3
2020-03-21 12:59:26 status unpacked libzstd1:amd64 1.3.8+dfsg-3
2020-03-21 12:59:26 install libtasn1-6:amd64 <none> 4.13-3
2020-03-21 12:59:26 status half-installed libtasn1-6:amd64 4.13-3
2020-03-21 12:59:26 status unpacked libtasn1-6:amd64 4.13-3
2020-03-21 12:59:26 install libseccomp2:amd64 <none> 2.3.3-4
2020-03-21 12:59:26 status half-installed libseccomp2:amd64 2.3.3-4
2020-03-21 12:59:26 status unpacked libseccomp2:amd64 2.3.3-4
2020-03-21 12:59:26 install libtinfo6:amd64 <none> 6.1+20181013-2+deb10u2
2020-03-21 12:59:26 status half-installed libtinfo6:amd64 6.1+20181013-2+deb10u2
2020-03-21 12:59:26 status unpacked libtinfo6:amd64 6.1+20181013-2+deb10u2
2020-03-21 12:59:26 install libuuid1:amd64 <none> 2.33.1-0.1
2020-03-21 12:59:26 status half-installed libuuid1:amd64 2.33.1-0.1
2020-03-21 12:59:26 status unpacked libuuid1:amd64 2.33.1-0.1
2020-03-21 12:59:26 install libss2:amd64 <none> 1.44.5-1+deb10u3
2020-03-21 12:59:26 status half-installed libss2:amd64 1.44.5-1+deb10u3
2020-03-21 12:59:26 status unpacked libss2:amd64 1.44.5-1+deb10u3
2020-03-21 12:59:26 install libsmartcols1:amd64 <none> 2.33.1-0.1
2020-03-21 12:59:26 status half-installed libsmartcols1:amd64 2.33.1-0.1
2020-03-21 12:59:26 status unpacked libsmartcols1:amd64 2.33.1-0.1
2020-03-21 12:59:26 install login:amd64 <none> 1:4.5-1.1
2020-03-21 12:59:26 status half-installed login:amd64 1:4.5-1.1
2020-03-21 12:59:26 status unpacked login:amd64 1:4.5-1.1
2020-03-21 12:59:26 install util-linux:amd64 <none> 2.33.1-0.1
2020-03-21 12:59:26 status half-installed util-linux:amd64 2.33.1-0.1
2020-03-21 12:59:26 status unpacked util-linux:amd64 2.33.1-0.1
2020-03-21 12:59:26 install mount:amd64 <none> 2.33.1-0.1
